City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,idrinskoye,54.3708,92.1358,16.13,97,76,1.99,RU,1722879561
328,dudinka,69.4058,86.1778,8.53,65,0,8.12,RU,1722879562
329,jackson,42.4165,-122.8345,29.11,49,0,0.89,US,1722879564
330,flin flon,54.7682,-101.865,21.91,35,75,1.54,CA,1722879488
331,buckhannon,38.994,-80.232,32.34,53,15,0.45,US,1722879566
332,nizhniy ingash,56.2,96.53,15.89,91,91,0.82,RU,1722879568
333,palmer,42.1584,-72.3287,31.64,53,20,2.06,US,1722879570
334,boma,11.7117,4.2472,26.82,82,87,2.96,NG,1722879571
335,tasqala,51.1167,50.3167,23.73,56,100,4.84,KZ,1722879573
336,inari,68.906,27.0288,20.11,53,63,1.3,FI,1722879576
337,constitucion,-35.3333,-72.4167,10.64,85,95,1.8,CL,1722879577
338,gebeit,21.0667,36.3167,29.48,52,97,5.07,SD,1722879578
339,al ghayzah,16.2079,52.176,24.86,89,27,6.92,YE,1722879580
340,angaur state,6.906,134.13,28.16,77,98,3.96,PW,1722879581
341,grants,35.1473,-107.8514,29.35,29,68,1.41,US,1722879583
342,kolonia town,6.964,158.206,25.0,88,40,1.54,FM,1722879584
343,dambulla,7.86,80.6517,25.16,78,71,5.56,LK,1722879585
344,iquitos,-3.7481,-73.2472,28.02,89,75,1.54,PE,1722879587
345,lincoln,40.8,-96.667,36.12,38,0,5.66,US,1722879362
346,hilton head island,32.2163,-80.7526,25.06,84,75,4.63,US,1722879368
347,villa dolores,-31.9459,-65.1896,27.04,21,9,4.57,AR,1722879590
348,namdrik,5.5994,168.1028,28.51,75,42,3.48,MH,1722879592
349,aasiaat,68.7098,-52.8699,2.66,91,60,1.81,GL,1722879593
350,lompoc,34.6391,-120.4579,20.9,77,20,2.06,US,1722879054
351,ravar,31.2656,56.8055,34.78,11,0,2.47,IR,1722879595
352,parnarama,-5.6817,-43.0933,36.48,22,1,2.31,BR,1722879596
353,den burg,53.0542,4.7972,22.19,73,9,4.12,NL,1722879598
354,nadym,65.5333,72.5167,8.23,68,100,4.94,RU,1722879599
355,tocache,-8.1842,-76.5125,32.88,41,8,2.17,PE,1722879600
356,port lincoln,-34.7333,135.8667,9.41,90,74,4.35,AU,1722879453
357,klaksvik,62.2266,-6.589,12.51,87,79,3.78,FO,1722879602
358,callao,-12.0667,-77.15,20.95,80,68,5.49,PE,1722879319
359,masterton,-40.9597,175.6575,1.72,95,0,0.81,NZ,1722879607
360,bel ombre,-4.6167,55.4167,25.91,89,40,5.14,SC,1722879608
361,zhu cheng city,35.995,119.4026,25.15,94,84,1.34,CN,1722879609
362,chibougamau,49.9168,-74.3659,17.79,45,75,6.17,CA,1722879413
363,saldanha,-33.0117,17.9442,13.03,71,7,5.43,ZA,1722879612
364,dakhla,23.6848,-15.958,23.01,83,20,7.72,EH,1722879613
365,katsuren-haebaru,26.3369,127.8719,29.01,93,75,2.57,JP,1722879614
366,ardestan,33.3761,52.3694,35.29,13,22,0.31,IR,1722879615
367,moussoro,13.6408,16.4901,25.56,78,100,2.44,TD,1722879616
368,novyy urgal,51.0736,132.5642,17.46,98,100,0.36,RU,1722879617
369,mejit,10.2753,170.8646,28.35,79,100,6.9,MH,1722879619
370,sivas,39.7916,37.0019,22.35,52,0,4.63,TR,1722879620
371,itoman,26.1247,127.6694,29.01,91,75,5.66,JP,1722879622
372,togur,58.3631,82.8265,15.9,96,50,2.54,RU,1722879624
373,yeniseysk,58.4497,92.1703,15.89,97,62,0.87,RU,1722879625
374,ad dabbah,18.05,30.95,35.66,36,50,4.39,SD,1722879626
375,florence,43.7667,11.25,31.95,37,33,3.08,IT,1722879444
376,homer,59.6425,-151.5483,17.65,56,100,5.14,US,1722879629
377,chui,-33.6971,-53.4616,15.82,83,100,6.38,UY,1722879630
378,fort mcmurray,56.7268,-111.381,21.77,46,0,4.63,CA,1722879631
379,holualoa,19.6228,-155.9522,23.64,85,0,2.06,US,1722879632
380,qaqortoq,60.7167,-46.0333,6.79,80,100,2.11,GL,1722879634
381,kavieng,-2.5744,150.7967,26.82,80,100,4.03,PG,1722879227
382,cadale,2.7603,46.3222,24.2,81,11,7.78,SO,1722879636
383,lihue,21.9789,-159.3672,25.97,78,0,5.14,US,1722879637
384,sydney,-33.8679,151.2073,10.95,86,100,3.6,AU,1722879217
385,coquimbo,-29.9533,-71.3436,14.85,72,0,4.63,CL,1722879346
386,nova vicosa,-17.8919,-39.3719,25.35,60,12,4.17,BR,1722879641
387,hasaki,35.7333,140.8333,26.22,86,11,2.22,JP,1722879431
388,nabire,-3.3667,135.4833,23.14,93,81,1.67,ID,1722879643
389,diano marina,43.9103,8.0793,33.18,65,0,5.14,IT,1722879644
390,sao jose da coroa grande,-8.8978,-35.1478,25.94,64,14,5.54,BR,1722879646
391,hirara,24.8,125.2833,26.15,100,100,3.09,JP,1722879647
392,al muwayh,22.4333,41.7583,30.11,38,99,6.81,SA,1722879648
393,ilha de mocambique,-15.0342,40.7358,20.43,85,2,1.74,MZ,1722879445
394,ta`u,-14.2336,-169.5144,25.75,76,6,2.81,AS,1722879651
395,kawm umbu,24.4767,32.9463,36.84,18,97,1.22,EG,1722879652
396,el porvenir,13.7617,-87.3458,30.63,49,48,1.66,HN,1722879653
397,xilin hot,43.9667,116.0333,19.54,45,53,2.62,CN,1722879654
398,lufkin,31.3382,-94.7291,33.8,55,20,0.0,US,1722879655
399,raja,8.4596,25.678,22.25,90,95,1.6,SS,1722879656
400,ziway,7.9333,38.7167,18.11,84,99,0.24,ET,1722879658
401,toliara,-23.35,43.6667,23.59,63,2,4.71,MG,1722879659
402,howard springs,-12.497,131.047,22.95,93,4,1.76,AU,1722879660
403,kirkuk,35.4681,44.3922,36.43,15,0,3.22,IQ,1722879661
404,glen innes,-29.7333,151.7333,7.97,99,99,3.7,AU,1722879662
405,guerrero negro,27.9769,-114.0611,27.74,49,92,4.09,MX,1722879664
406,nikolayevsk-on-amure,53.1406,140.73,15.03,81,100,1.61,RU,1722879251
407,kerikeri,-35.2268,173.9474,6.28,91,6,1.86,NZ,1722879667
408,greymouth,-42.4667,171.2,6.76,90,53,1.89,NZ,1722879250
409,mata-utu,-13.2816,-176.1745,26.39,73,5,4.52,WF,1722879670
410,nova sintra,14.8667,-24.7167,27.77,66,29,1.6,CV,1722879671
411,lisakovsk,52.5369,62.4936,19.12,71,72,2.04,KZ,1722879672
412,broken hill,-31.95,141.4333,5.24,93,4,2.25,AU,1722879673
413,dhulikhel,27.6189,85.5529,20.75,94,94,0.66,NP,1722879674
414,ipora,-16.4419,-51.1178,32.19,17,0,3.3,BR,1722879675
415,kalmunai,7.4167,81.8167,27.87,79,71,3.57,LK,1722879677
416,charters towers,-20.1,146.2667,13.26,94,44,2.35,AU,1722879678
417,rahimah,26.7079,50.0619,36.12,46,53,1.36,SA,1722879679
418,colby,39.3958,-101.0524,35.46,33,0,5.14,US,1722879209
419,chibuto,-24.6867,33.5306,18.57,78,45,4.2,MZ,1722879683
420,san luis,-33.295,-66.3356,20.99,24,0,5.71,AR,1722879429
421,karamay,45.6004,84.8661,29.22,25,53,5.97,CN,1722879685
